filename,makam,form,usul,title,composer,midi_path,processed_filename
arazbar--seyir--duyek--1--sefik_gurmeric.mid,arazbar,seyir,duyek,1,sefik gurmeric,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/arazbar--seyir--duyek--1--sefik_gurmeric.mid,symbtr_063_arazbar_seyir.mid
gerdaniye--turku--aksak--salina_salina--denizli.mid,gerdaniye,turku,aksak,salina salina,denizli,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/gerdaniye--turku--aksak--salina_salina--denizli.mid,symbtr_064_gerdaniye_turku.mid
mahur--tavsanca--aksak--nazar_etti--tanburi_mustafa_cavus.mid,mahur,tavsanca,aksak,nazar etti,tanburi mustafa cavus,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahur--tavsanca--aksak--nazar_etti--tanburi_mustafa_cavus.mid,symbtr_065_mahur_tavsanca.mid
nihavent--sarki--duyek--askimin_ilk--arif_sami_toker.mid,nihavent,sarki,duyek,askimin ilk,arif sami toker,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nihavent--sarki--duyek--askimin_ilk--arif_sami_toker.mid,symbtr_066_nihavent_sarki.mid
peykinesat--pesrev--yuruksemai_ii----nefiri_behram_aga.mid,peykinesat,pesrev,yuruksemai_ii,,nefiri behram aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/peykinesat--pesrev--yuruksemai_ii----nefiri_behram_aga.mid,symbtr_067_peykinesat_pesrev.mid
kurdilihicazkar--sarki--aksak--her_gece--bimen_sen.mid,kurdilihicazkar,sarki,aksak,her gece,bimen sen,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/kurdilihicazkar--sarki--aksak--her_gece--bimen_sen.mid,symbtr_068_kurdilihicazkar_sarki.mid
nihavent--sarki--aksak--seni_tenhada--ismet_aga.mid,nihavent,sarki,aksak,seni tenhada,ismet aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nihavent--sarki--aksak--seni_tenhada--ismet_aga.mid,symbtr_069_nihavent_sarki.mid
hicaz--mandra--devrituran_ii----lavtaci_andon.mid,hicaz,mandra,devrituran_ii,,lavtaci andon,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz--mandra--devrituran_ii----lavtaci_andon.mid,symbtr_070_hicaz_mandra.mid
nihavendikebir--seyir--sofyan--1--sefik_gurmeric.mid,nihavendikebir,seyir,sofyan,1,sefik gurmeric,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nihavendikebir--seyir--sofyan--1--sefik_gurmeric.mid,symbtr_071_nihavendikebir_seyir.mid
huseyni--agirsemai--aksaksemai--acildi_gonce-i--komurcuzade_hafiz_mehmet_efendi.mid,huseyni,agirsemai,aksaksemai,acildi gonce-i,komurcuzade hafiz mehmet efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huseyni--agirsemai--aksaksemai--acildi_gonce-i--komurcuzade_hafiz_mehmet_efendi.mid,symbtr_072_huseyni_agirsemai.mid
